method,group,token,callerCount,signature
SetfldConstruntAreaFL2,FieldSetters (Setfld*),100668471.0,0.0,"public unsafe static Il2CppReferenceArray<fldConstruntAreaFL2_t> SetfldConstruntAreaFL2(Il2CppStructArray<byte> pData, uint size, int addr)"
SetfldEveType,FieldSetters (Setfld*),100668486.0,4.0,"public unsafe static uint SetfldEveType(Il2CppStructArray<byte> pData, int addr, fldResPut_t pPut)"
SetfldFileAreaDataFL1,FieldSetters (Setfld*),100668468.0,0.0,"public unsafe static fldFileAreaDataFL1_t SetfldFileAreaDataFL1(Il2CppStructArray<byte> pData, int addr)"
SetfldFileAreaDataFL2,FieldSetters (Setfld*),100668470.0,0.0,"public unsafe static fldFileAreaDataFL2_t SetfldFileAreaDataFL2(Il2CppStructArray<byte> pData, int addr)"
fldFileAddrResetMode,File resolver (fldFile*),100668532.0,0.0,public unsafe static void fldFileAddrResetMode(int mode)
fldFileResolverFL1,File resolver (fldFile*),100668464.0,1.0,"public unsafe static void fldFileResolverFL1(fldFileInfoHeaderFL1_t pInfoHeaderFL1, Il2CppStructArray<byte> pHead, string akey)"
fldFileResolverFL2,File resolver (fldFile*),100668465.0,0.0,"public unsafe static void fldFileResolverFL2(fldFileInfoHeaderFL2_t pInfoHeaderFL2, Il2CppStructArray<byte> pHead)"
ChangeMaterial,Other,100668525.0,1.0,"public unsafe static void ChangeMaterial(Il2CppReferenceArray<GameObject> List1, Il2CppReferenceArray<Il2CppReferenceArray<GameObject>> List2, Material mat_black, Material mat_white, Material mat_line)"
GetStringToByte,Other,100668466.0,11.0,"public unsafe static string GetStringToByte(Il2CppStructArray<byte> pData, int addr)"
fldCheckNextFile,Other,100668533.0,0.0,public unsafe static bool fldCheckNextFile(int field)
fldGetMatter_From_ModelRangeID,Other,100668458.0,8.0,public unsafe static dds3Basic_t fldGetMatter_From_ModelRangeID(int modelRangeID)
fldSetupButtonGuide,Other,100668528.0,3.0,public unsafe static void fldSetupButtonGuide()
typeAsiaCheckEvent,Region/DLC gates,100668534.0,1.0,public unsafe static bool typeAsiaCheckEvent(string resourceName)
SetsdfMatDef,SDF defs (Setsdf*),100668505.0,0.0,"public unsafe static sdfMatDef_t SetsdfMatDef(Il2CppStructArray<byte> pData, int addr)"
SetsdfModelDef,SDF defs (Setsdf*),100668504.0,1.0,"public unsafe static sdfModelDef_t SetsdfModelDef(Il2CppStructArray<byte> pData, int addr, bool set = true)"
SetsdfModelNodeDef,SDF defs (Setsdf*),100668512.0,1.0,"public unsafe static sdfModelNodeDef_t SetsdfModelNodeDef(Il2CppStructArray<byte> pData, ref int addr)"
SetsdfMotionCutChunk,SDF defs (Setsdf*),100668508.0,1.0,"public unsafe static Il2CppReferenceArray<sdfMotionCutChunk_t> SetsdfMotionCutChunk(Il2CppStructArray<byte> pData, int addr)"
SetsdfMotionCutDef,SDF defs (Setsdf*),100668507.0,1.0,"public unsafe static Il2CppReferenceArray<sdfMotionCutDef_t> SetsdfMotionCutDef(Il2CppStructArray<byte> pData, int size, int addr)"
SetsdfMotionNodeDef,SDF defs (Setsdf*),100668509.0,0.0,"public unsafe static Il2CppReferenceArray<sdfMotionNodeDef_t> SetsdfMotionNodeDef(Il2CppStructArray<byte> pData, int len, int addr)"
SetsdfMotionPlayBook,SDF defs (Setsdf*),100668506.0,1.0,"public unsafe static sdfMotionPlayBook_t SetsdfMotionPlayBook(Il2CppStructArray<byte> pData, int addr)"
GetChildList,Scene traversal helpers,100668524.0,2.0,"public unsafe static void GetChildList(GameObject AutoMapObj, ref Il2CppReferenceArray<GameObject> List1, ref Il2CppReferenceArray<Il2CppReferenceArray<GameObject>> List2)"
GetChildren,Scene traversal helpers,100668523.0,1.0,public unsafe static Il2CppReferenceArray<GameObject> GetChildren(GameObject parentObj)
