class,access,method,signature,token,callerCount,xref_start,xref_end,ref_start,ref_end,file,token_key
Localize,public,GetLangCode,public unsafe static string GetLangCode(),100674515.0,1.0,5591437.0,5591446.0,5591446.0,5591488.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetLangCode_Public_Static_String_0
Localize,public,LoadCommonData,public unsafe static void LoadCommonData(),100674516.0,0.0,5591488.0,5591496.0,5591496.0,5591497.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,LoadCommonData_Public_Static_Void_0
Localize,public,ChangeTitle,public unsafe static void ChangeTitle(),100674517.0,1.0,5591497.0,5591549.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,ChangeTitle_Public_Static_Void_0
Localize,public,LoadBattleLocalizeText,public unsafe static void LoadBattleLocalizeText(),100674518.0,1.0,5591549.0,5591576.0,5591576.0,5591577.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,LoadBattleLocalizeText_Public_Static_Void_0
Localize,public,RemoveBattleLocalizeText,public unsafe static void RemoveBattleLocalizeText(),100674519.0,0.0,5591577.0,5591628.0,5591628.0,5591629.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,RemoveBattleLocalizeText_Public_Static_Void_0
Localize,public,LoadLocalizeText,"public unsafe static void LoadLocalizeText(string key, string filename)",100674520.0,96.0,5591629.0,5591669.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,LoadLocalizeText_Public_Static_Void_String_String_0
Localize,public,LoadEventData,"public unsafe static void LoadEventData(string key, string name, int eventno, bool check = false)",100674521.0,3.0,5591669.0,5591706.0,5591706.0,5591802.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,LoadEventData_Public_Static_Void_String_String_Int32_Boolean_0
Localize,public,ReleaseEventData,public unsafe static void ReleaseEventData(int eventno),100674522.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,ReleaseEventData_Public_Static_Void_Int32_0
Localize,public,Load,"public unsafe static void Load(string key, string filePath)",100674523.0,1.0,5591900.0,5591939.0,5591939.0,5591940.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,Load_Public_Static_Void_String_String_0
Localize,public,GetData,public unsafe static EventEMsgData GetData(string key),100674524.0,7.0,5591940.0,5591951.0,5591951.0,5591952.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetData_Public_Static_EventEMsgData_String_0
Localize,public,Remove,public unsafe static void Remove(string key),100674525.0,62.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,Remove_Public_Static_Void_String_0
Localize,public,GetLocalizeText,public unsafe static string GetLocalizeText(string ID),100674526.0,209.0,5591969.0,5591992.0,5591992.0,5592054.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetLocalizeText_Public_Static_String_String_0
Localize,public,GetLocalizeText,"public unsafe static string GetLocalizeText(string dic, string ID)",100674526.0,1.0,5592054.0,5592080.0,5592080.0,5592289.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetLocalizeText_Public_Static_String_String_0
Localize,public,ContainsIndex,public unsafe static int ContainsIndex(string name),100674528.0,10.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,ContainsIndex_Public_Static_Int32_String_0
Localize,public,SettingFontMaterial,public unsafe static void SettingFontMaterial(),100674529.0,1.0,5592316.0,5592334.0,5592334.0,5592344.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,SettingFontMaterial_Public_Static_Void_0
Localize,public,_ContainsIndex_b__0,public unsafe bool _ContainsIndex_b__0(Localize.EvtMsgDat e),100674533.0,0.0,38722.0,2665970.0,38722.0,2665970.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,_ContainsIndex_b__0_Internal_Boolean_EvtMsgDat_0
file_Manager,public,fileHandleFree,public unsafe static int fileHandleFree(fileCb_t fileHandle),100669165.0,20.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/file_Manager.cs,fileHandleFree_Public_Static_Int32_fileCb_t_0
file_Manager,public,fileGetMemHandle,public unsafe static sdfMemHandle_t fileGetMemHandle(fileCb_t fileHandle),100669166.0,20.0,5301622.0,5301642.0,5301622.0,5301642.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/file_Manager.cs,fileGetMemHandle_Public_Static_sdfMemHandle_t_fileCb_t_0
file_Manager,public,fileGetLoadPtr,public unsafe static Il2CppSystem.Object fileGetLoadPtr(fileCb_t fileHandle),100669167.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/file_Manager.cs,fileGetLoadPtr_Public_Static_Object_fileCb_t_0
file_Manager,public,fileGetLoadSize,public unsafe static int fileGetLoadSize(fileCb_t fileHandle),100669168.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/file_Manager.cs,fileGetLoadSize_Public_Static_Int32_fileCb_t_0
file_Manager,public,fileCheckEnd,public unsafe static int fileCheckEnd(fileCb_t fileHandle),100669169.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/file_Manager.cs,fileCheckEnd_Public_Static_Int32_fileCb_t_0
fldFileResolver,public,fldMakeDmyMatter,public unsafe static dds3Basic_t fldMakeDmyMatter(),100668457.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldMakeDmyMatter_Private_Static_dds3Basic_t_0
fldFileResolver,public,fldGetMatter_From_ModelRangeID,public unsafe static dds3Basic_t fldGetMatter_From_ModelRangeID(int modelRangeID),100668458.0,8.0,5435604.0,5435619.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldGetMatter_From_ModelRangeID_Public_Static_dds3Basic_t_Int32_0
fldFileResolver,public,fldMakeResouceBasicFL1,"public unsafe static void fldMakeResouceBasicFL1(Il2CppReferenceArray<fldResourceTypeTable_t> pTypeTable, uint nTypeTable, Il2CppStructArray<byte> pHead)",100668459.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldMakeResouceBasicFL1_Private_Static_Void_Il2CppReferenceArray_1_fldResourceTypeTable_t_UInt32_Il2CppStructArray_1_Byte_0
fldFileResolver,public,fldMakeResouceBasicFL2,"public unsafe static void fldMakeResouceBasicFL2(Il2CppReferenceArray<fldResourceTypeTable_t> pTypeTable, uint nTypeTable, Il2CppStructArray<byte> pHead)",100668460.0,2.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldMakeResouceBasicFL2_Private_Static_Void_Il2CppReferenceArray_1_fldResourceTypeTable_t_UInt32_Il2CppStructArray_1_Byte_0
fldFileResolver,public,fldMakeBlockBasicFL2,"public unsafe static void fldMakeBlockBasicFL2(Il2CppReferenceArray<fldConstruntAreaFL2_t> pBlockTable, uint nBlock)",100668461.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldMakeBlockBasicFL2_Private_Static_Void_Il2CppReferenceArray_1_fldConstruntAreaFL2_t_UInt32_0
fldFileResolver,public,fldMakeObjectBasic2,public unsafe static void fldMakeObjectBasic2(),100668462.0,1.0,5435920.0,5435926.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldMakeObjectBasic2_Private_Static_Void_0
fldFileResolver,public,fldMakeObjectBasic3,public unsafe static void fldMakeObjectBasic3(),100668463.0,1.0,5435926.0,5436022.0,5436022.0,5436023.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldMakeObjectBasic3_Private_Static_Void_0
fldFileResolver,public,fldFileResolverFL1,"public unsafe static void fldFileResolverFL1(fldFileInfoHeaderFL1_t pInfoHeaderFL1, Il2CppStructArray<byte> pHead, string akey)",100668464.0,1.0,5436023.0,5436129.0,5436129.0,5436130.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolverFL1_Private_Static_Void_fldFileInfoHeaderFL1_t_Il2CppStructArray_1_Byte_String_0
fldFileResolver,public,fldFileResolverFL2,"public unsafe static void fldFileResolverFL2(fldFileInfoHeaderFL2_t pInfoHeaderFL2, Il2CppStructArray<byte> pHead)",100668465.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolverFL2_Private_Static_Void_fldFileInfoHeaderFL2_t_Il2CppStructArray_1_Byte_0
fldFileResolver,public,GetStringToByte,"public unsafe static string GetStringToByte(Il2CppStructArray<byte> pData, int addr)",100668466.0,11.0,5436263.0,5436276.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,GetStringToByte_Public_Static_String_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,fldAddressResolverFL1,public unsafe static fldFileInfoHeaderFL1_t fldAddressResolverFL1(Il2CppStructArray<byte> pData),100668467.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldAddressResolverFL1_Private_Static_fldFileInfoHeaderFL1_t_Il2CppStructArray_1_Byte_0
fldFileResolver,public,SetfldFileAreaDataFL1,"public unsafe static fldFileAreaDataFL1_t SetfldFileAreaDataFL1(Il2CppStructArray<byte> pData, int addr)",100668468.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldFileAreaDataFL1_Private_Static_fldFileAreaDataFL1_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,fldAddressResolverFL2,public unsafe static fldFileInfoHeaderFL2_t fldAddressResolverFL2(Il2CppStructArray<byte> pData),100668469.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldAddressResolverFL2_Private_Static_fldFileInfoHeaderFL2_t_Il2CppStructArray_1_Byte_0
fldFileResolver,public,SetfldFileAreaDataFL2,"public unsafe static fldFileAreaDataFL2_t SetfldFileAreaDataFL2(Il2CppStructArray<byte> pData, int addr)",100668470.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldFileAreaDataFL2_Private_Static_fldFileAreaDataFL2_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldConstruntAreaFL2,"public unsafe static Il2CppReferenceArray<fldConstruntAreaFL2_t> SetfldConstruntAreaFL2(Il2CppStructArray<byte> pData, uint size, int addr)",100668471.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldConstruntAreaFL2_Private_Static_Il2CppReferenceArray_1_fldConstruntAreaFL2_t_Il2CppStructArray_1_Byte_UInt32_Int32_0
fldFileResolver,public,SetfldResourceTypeTable,"public unsafe static Il2CppReferenceArray<fldResourceTypeTable_t> SetfldResourceTypeTable(Il2CppStructArray<byte> pData, uint size, int addr)",100668472.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourceTypeTable_Private_Static_Il2CppReferenceArray_1_fldResourceTypeTable_t_Il2CppStructArray_1_Byte_UInt32_Int32_0
fldFileResolver,public,SetfldResourceDataTable,"public unsafe static Il2CppReferenceArray<fldResHead_t> SetfldResourceDataTable(Il2CppStructArray<byte> pData, uint size, int addr)",100668473.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourceDataTable_Private_Static_Il2CppReferenceArray_1_fldResHead_t_Il2CppStructArray_1_Byte_UInt32_Int32_0
fldFileResolver,public,SetfldResHeadPos,"public unsafe static fldResHeadPos_t SetfldResHeadPos(Il2CppStructArray<byte> pData, int addr)",100668474.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResHeadPos_Private_Static_fldResHeadPos_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResHeadAreaName,"public unsafe static fldResHeadAreaName_t SetfldResHeadAreaName(Il2CppStructArray<byte> pData, int addr)",100668475.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResHeadAreaName_Private_Static_fldResHeadAreaName_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResHeadLink,"public unsafe static fldResHeadLink_t SetfldResHeadLink(Il2CppStructArray<byte> pData, int addr)",100668476.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResHeadLink_Private_Static_fldResHeadLink_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResHeadLinkData,"public unsafe static fldResHeadLinkData_t SetfldResHeadLinkData(Il2CppStructArray<byte> pData, ref int addr)",100668477.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResHeadLinkData_Private_Static_fldResHeadLinkData_t_Il2CppStructArray_1_Byte_byref_Int32_0
fldFileResolver,public,SetfldResCollision,"public unsafe static fldResCollision_t SetfldResCollision(Il2CppStructArray<byte> pData, int addr)",100668478.0,2.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResCollision_Private_Static_fldResCollision_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResCollisionPoly,"public unsafe static fldResCollisionPoly_t SetfldResCollisionPoly(Il2CppStructArray<byte> pData, int addr)",100668479.0,2.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResCollisionPoly_Private_Static_fldResCollisionPoly_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResCollisionpVertex,"public unsafe static Il2CppStructArray<Vector4> SetfldResCollisionpVertex(Il2CppStructArray<byte> pData, int size, int addr)",100668480.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResCollisionpVertex_Private_Static_Il2CppStructArray_1_Vector4_Il2CppStructArray_1_Byte_Int32_Int32_0
fldFileResolver,public,SetfldResCollisionPolyFace,"public unsafe static Il2CppReferenceArray<fldResCollisionPolyFace_t> SetfldResCollisionPolyFace(Il2CppStructArray<byte> pData, int size, int addr)",100668481.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResCollisionPolyFace_Private_Static_Il2CppReferenceArray_1_fldResCollisionPolyFace_t_Il2CppStructArray_1_Byte_Int32_Int32_0
fldFileResolver,public,SetfldResCollPolyTome,"public unsafe static fldResCollPolyTome_t SetfldResCollPolyTome(Il2CppStructArray<byte> pData, int addr)",100668482.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResCollPolyTome_Private_Static_fldResCollPolyTome_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResCollPolyTomeName,"public unsafe static Il2CppReferenceArray<fldResCollPolyTomeName_t> SetfldResCollPolyTomeName(Il2CppStructArray<byte> pData, int size, int addr)",100668483.0,2.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResCollPolyTomeName_Private_Static_Il2CppReferenceArray_1_fldResCollPolyTomeName_t_Il2CppStructArray_1_Byte_Int32_Int32_0
fldFileResolver,public,SetfldResEvent,"public unsafe static fldResEvent_t SetfldResEvent(Il2CppStructArray<byte> pData, int addr)",100668484.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResEvent_Private_Static_fldResEvent_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResPut,"public unsafe static fldResPut_t SetfldResPut(Il2CppStructArray<byte> pData, int addr, fldResPut_t pPut)",100668485.0,4.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResPut_Public_Static_fldResPut_t_Il2CppStructArray_1_Byte_Int32_fldResPut_t_0
fldFileResolver,public,SetfldEveType,"public unsafe static uint SetfldEveType(Il2CppStructArray<byte> pData, int addr, fldResPut_t pPut)",100668486.0,4.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldEveType_Public_Static_UInt32_Il2CppStructArray_1_Byte_Int32_fldResPut_t_0
fldFileResolver,public,SetfldResPutEveBall,"public unsafe static fldResPutEveBall_t SetfldResPutEveBall(Il2CppStructArray<byte> pData, int addr, fldResPut_t pPut)",100668487.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResPutEveBall_Public_Static_fldResPutEveBall_t_Il2CppStructArray_1_Byte_Int32_fldResPut_t_0
fldFileResolver,public,SetfldResCam,"public unsafe static fldResCam_t SetfldResCam(Il2CppStructArray<byte> pData, int addr)",100668488.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResCam_Private_Static_fldResCam_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResPutNpc,"public unsafe static fldResPutNpc_t SetfldResPutNpc(Il2CppStructArray<byte> pData, int addr)",100668489.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResPutNpc_Private_Static_fldResPutNpc_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResPutItemBox,"public unsafe static fldResPutItemBox_t SetfldResPutItemBox(Il2CppStructArray<byte> pData, int addr)",100668490.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResPutItemBox_Private_Static_fldResPutItemBox_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResPutSE,"public unsafe static fldResPutSE_t SetfldResPutSE(Il2CppStructArray<byte> pData, int addr)",100668491.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResPutSE_Private_Static_fldResPutSE_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourceEffect,"public unsafe static fldResourceEffect_t SetfldResourceEffect(Il2CppStructArray<byte> pData, int addr)",100668492.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourceEffect_Private_Static_fldResourceEffect_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourceLight,"public unsafe static fldResourceLight_t SetfldResourceLight(Il2CppStructArray<byte> pData, int addr)",100668493.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourceLight_Private_Static_fldResourceLight_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourcePathTableInfo,"public unsafe static fldResourcePathTableInfo_t SetfldResourcePathTableInfo(Il2CppStructArray<byte> pData, int addr)",100668494.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathTableInfo_Private_Static_fldResourcePathTableInfo_t_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourcePathTable,"public unsafe static Il2CppReferenceArray<fldResourcePathTable_t> SetfldResourcePathTable(Il2CppStructArray<byte> pData, int size, int addr)",100668495.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathTable_Private_Static_Il2CppReferenceArray_1_fldResourcePathTable_t_Il2CppStructArray_1_Byte_Int32_Int32_0
fldFileResolver,public,SetfldResourcePathData_Float,"public unsafe static fldResourcePathData_t_Float SetfldResourcePathData_Float(Il2CppStructArray<byte> pData, int addr)",100668496.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathData_Float_Private_Static_fldResourcePathData_t_Float_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourcePathData_Vector3,"public unsafe static fldResourcePathData_t_Vector3 SetfldResourcePathData_Vector3(Il2CppStructArray<byte> pData, int addr)",100668497.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathData_Vector3_Private_Static_fldResourcePathData_t_Vector3_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourcePathData_Vector4,"public unsafe static fldResourcePathData_t_Vector4 SetfldResourcePathData_Vector4(Il2CppStructArray<byte> pData, int addr)",100668498.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathData_Vector4_Private_Static_fldResourcePathData_t_Vector4_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourcePathData_Light,"public unsafe static fldResourcePathData_t_Light SetfldResourcePathData_Light(Il2CppStructArray<byte> pData, int addr)",100668499.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathData_Light_Private_Static_fldResourcePathData_t_Light_Il2CppStructArray_1_Byte_Int32_0
fldFileResolver,public,SetfldResourcePathVector4,"public unsafe static Il2CppStructArray<Vector4> SetfldResourcePathVector4(Il2CppStructArray<byte> pData, int size, int addr)",100668500.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathVector4_Private_Static_Il2CppStructArray_1_Vector4_Il2CppStructArray_1_Byte_Int32_Int32_0
fldFileResolver,public,SetfldResourcePathUInt32,"public unsafe static Il2CppStructArray<uint> SetfldResourcePathUInt32(Il2CppStructArray<byte> pData, int size, int addr)",100668501.0,1.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathUInt32_Private_Static_Il2CppStructArray_1_UInt32_Il2CppStructArray_1_Byte_Int32_Int32_0
fldFileResolver,public,SetfldResourcePathVector3,"public unsafe static Il2CppStructArray<Vector3> SetfldResourcePathVector3(Il2CppStructArray<byte> pData, int size, int addr)",100668502.0,0.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,SetfldResourcePathVector3_Private_Static_Il2CppStructArray_1_Vector3_Il2CppStructArray_1_Byte_Int32_Int32_0
