class,token,name,ret,params
sdfModel,0x0600380E,sdfModelMakeEarly,sdfModelRootNode_t,"sdfModelTexList_t aTexList, ref sdfModelDef_t aModelData"
sdfModel,0x0600380F,sdfModelEvalNode,void,"ref sdfModelNode_t aNode, ref Matrix4x4 aParentTm, int aFrameId"
sdfModel,0x06003810,sdfModelEvalTm2,void,"ref sdfModelRootNode_t aRoot, int aFrameId"
sdfModel,0x06003811,sdfModelEvalTm,void,ref sdfModelRootNode_t aRoot
sdfModel,0x06003812,sdfModelLinkOt,void,"ref sdfModelOt_t aOt, ref sdfModelRootNode_t aRoot"
sdfModel,0x06003813,sdfModelMakeMarkPos,void,"ref sdfModelRootNode_t aRoot, ref sdfModelExtraChunkMarkPos_t aMark"
sdfModel,0x06003814,sdfModelSearchMarkPosData,sdfModelExtraChunkMarkPos_t,"ref sdfModelRootNode_t aRoot, int aId"
sdfModel,0x06003815,sdfModelGetMarkPos,int,"ref sdfModelRootNode_t aRoot, int aId"
dds3ModelBasic,0x060000DD,ModelBasicConstructor,int,dds3Basic_t pBasic
dds3ModelBasic,0x060000DE,ModelBasicDestructor,int,dds3Basic_t pBasic
dds3ModelBasic,0x060000DF,dds3AddModelBasic2,dds3Basic_t,"uint serialID, sdfModelDef_t pModelDef, sdfMotionPlayBook_t pMotDef, sdfModelTexList_t pTexList, string pName"
dds3ModelBasic,0x060000E0,dds3ModelBasicMakeRootNode,sdfModelRootNode_t,ref dds3Basic_t pBasic
dds3ModelBasic,0x060000E1,dds3ModelBasicMakeMotion,sdfMotionCtrlr_t,"ref dds3Basic_t pBasic, sdfModelRootNode_t pRootNode"
fldFileResolver,0x060026C0,SetsdfModelDef,sdfModelDef_t,"Il2CppStructArray<byte> pData, int addr, bool set = true"
fldFileResolver,0x060026C1,SetsdfMatDef,sdfMatDef_t,"Il2CppStructArray<byte> pData, int addr"
fldFileResolver,0x060026C2,SetsdfMotionPlayBook,sdfMotionPlayBook_t,"Il2CppStructArray<byte> pData, int addr"
fldFileResolver,0x060026C3,SetsdfMotionCutDef,Il2CppReferenceArray<sdfMotionCutDef_t>,"Il2CppStructArray<byte> pData, int size, int addr"
fldFileResolver,0x060026C4,SetsdfMotionCutChunk,Il2CppReferenceArray<sdfMotionCutChunk_t>,"Il2CppStructArray<byte> pData, int addr"
fldFileResolver,0x060026C5,SetsdfMotionNodeDef,Il2CppReferenceArray<sdfMotionNodeDef_t>,"Il2CppStructArray<byte> pData, int len, int addr"
fldFileResolver,0x060026C8,SetsdfModelNodeDef,sdfModelNodeDef_t,"Il2CppStructArray<byte> pData, ref int addr"
