token_dec,token_hex,rid,rva,kind,accessor,name,decl,group
100670400,0x06001BC0,7104,0x000D0F20,method,,evtCommand_MODEL_OFF,public unsafe static int evtCommand_MODEL_OFF(),MODEL
100670401,0x06001BC1,7105,0x000D0F50,method,,evtCommand_MODEL_LIGHT_ON,public unsafe static int evtCommand_MODEL_LIGHT_ON(),MODEL
100670402,0x06001BC2,7106,0x000D0F80,method,,evtCommand_MODEL_LIGHT_OFF,public unsafe static int evtCommand_MODEL_LIGHT_OFF(),MODEL
100670403,0x06001BC3,7107,0x000D0FB0,method,,evtCommand_MODEL_LIGHT_WAIT,public unsafe static int evtCommand_MODEL_LIGHT_WAIT(),MODEL
100670404,0x06001BC4,7108,0x000D0FE0,method,,evtCommand_MODEL_LIGHT_RGB,public unsafe static int evtCommand_MODEL_LIGHT_RGB(),MODEL
100670405,0x06001BC5,7109,0x000D1010,method,,evtCommand_MODEL_LIGHT_DIR,public unsafe static int evtCommand_MODEL_LIGHT_DIR(),MODEL
100670406,0x06001BC6,7110,0x000D1040,method,,evtCommand_MODEL_RGB,public unsafe static int evtCommand_MODEL_RGB(),MODEL
100670407,0x06001BC7,7111,0x000D1070,method,,evtCommand_MODEL_A,public unsafe static int evtCommand_MODEL_A(),MODEL
100670408,0x06001BC8,7112,0x000D10A0,method,,evtCommand_MODEL_LIGHT_LINK,public unsafe static int evtCommand_MODEL_LIGHT_LINK(),MODEL
100670409,0x06001BC9,7113,0x000D10D0,method,,evtCommand_MODEL_LIGHT_UNLINK,public unsafe static int evtCommand_MODEL_LIGHT_UNLINK(),MODEL
100670410,0x06001BCA,7114,0x000D1100,method,,evtCommand_EFFECT_BE,public unsafe static int evtCommand_EFFECT_BE(),EFFECT
100670411,0x06001BCB,7115,0x000D1130,method,,evtCommand_EFFECT_LOAD,public unsafe static int evtCommand_EFFECT_LOAD(),EFFECT
100670412,0x06001BCC,7116,0x000D1160,method,,evtCommand_EFFBED_LOAD,public unsafe static int evtCommand_EFFBED_LOAD(),EFFBED
100670413,0x06001BCD,7117,0x000D1190,method,,evtCommand_EFFBED_BE,public unsafe static int evtCommand_EFFBED_BE(),EFFBED
100670414,0x06001BCE,7118,0x000D11C0,method,,evtCommand_EFFBED_BE_EVO,public unsafe static int evtCommand_EFFBED_BE_EVO(),EFFBED
100670415,0x06001BCF,7119,0x000D11F0,method,,evtCommand_EFFBED_START,public unsafe static int evtCommand_EFFBED_START(),EFFBED
100670416,0x06001BD0,7120,0x000D1220,method,,evtCalcEffBedScale,public unsafe static float evtCalcEffBedScale(int uid),misc
100670417,0x06001BD1,7121,0x000D1260,method,,evtCommand_EFFBED_START_EVO,public unsafe static int evtCommand_EFFBED_START_EVO(),EFFBED
100670418,0x06001BD2,7122,0x000D1290,method,,evtCommand_EFFMG1_LOAD,public unsafe static int evtCommand_EFFMG1_LOAD(),EFFMG1
100670419,0x06001BD3,7123,0x000D12C0,method,,evtCommand_EFFMG1_BE,public unsafe static int evtCommand_EFFMG1_BE(),EFFMG1
100670420,0x06001BD4,7124,0x000D12F0,method,,evtCommand_EFFMG2_LOAD,public unsafe static int evtCommand_EFFMG2_LOAD(),EFFMG2
100670421,0x06001BD5,7125,0x000D1320,method,,evtCommand_EFFMG2_BE,public unsafe static int evtCommand_EFFMG2_BE(),EFFMG2
100670422,0x06001BD6,7126,0x000D1350,method,,evtCommand_EFFMG2_PRESET,public unsafe static int evtCommand_EFFMG2_PRESET(),EFFMG2
100670423,0x06001BD7,7127,0x000D1380,method,,evtCommand_EFFECT_PRESET,public unsafe static int evtCommand_EFFECT_PRESET(),EFFECT
100670424,0x06001BD8,7128,0x000D13B0,method,,evtCommand_EFFECT_CLS,public unsafe static int evtCommand_EFFECT_CLS(),EFFECT
100670425,0x06001BD9,7129,0x000D13E0,method,,evtCommand_EFFECT_POS_XYZ,public unsafe static int evtCommand_EFFECT_POS_XYZ(),EFFECT
100670426,0x06001BDA,7130,0x000D1410,method,,evtCommand_EFFECT_ROT_XYZ,public unsafe static int evtCommand_EFFECT_ROT_XYZ(),EFFECT
100670427,0x06001BDB,7131,0x000D1440,method,,evtCommand_EFFECT_POS,public unsafe static int evtCommand_EFFECT_POS(),EFFECT
100670428,0x06001BDC,7132,0x000D1470,method,,evtCommand_EFFMG1_POS,public unsafe static int evtCommand_EFFMG1_POS(),EFFMG1
100670429,0x06001BDD,7133,0x000D14A0,method,,evtCommand_EFFMG2_POS,public unsafe static int evtCommand_EFFMG2_POS(),EFFMG2
100670430,0x06001BDE,7134,0x000D14D0,method,,evtCommand_EFFECT_ON,public unsafe static int evtCommand_EFFECT_ON(),EFFECT
100670431,0x06001BDF,7135,0x000D1500,method,,evtCommand_EFFECT_LINK,public unsafe static int evtCommand_EFFECT_LINK(),EFFECT
100670432,0x06001BE0,7136,0x000D1530,method,,evtCommand_EFFECT_LINK2,public unsafe static int evtCommand_EFFECT_LINK2(),EFFECT
100670433,0x06001BE1,7137,0x000D1560,method,,evtCommand_EFFECT_UNLINK,public unsafe static int evtCommand_EFFECT_UNLINK(),EFFECT
100670434,0x06001BE2,7138,0x000D1590,method,,evtCommand_EFFECT_OFF,public unsafe static int evtCommand_EFFECT_OFF(),EFFECT
100670435,0x06001BE3,7139,0x000D15C0,method,,evtCommand_EFFECT_PATH_MOVE,public unsafe static int evtCommand_EFFECT_PATH_MOVE(),EFFECT
100670436,0x06001BE4,7140,0x000D15F0,method,,evtCommand_EFFECT_PATH_WAIT,public unsafe static int evtCommand_EFFECT_PATH_WAIT(),EFFECT
100670437,0x06001BE5,7141,0x000D1620,method,,evtCommand_SEARCH_ID,public unsafe static int evtCommand_SEARCH_ID(),SEARCH
100670438,0x06001BE6,7142,0x000D1650,method,,evtCommand_RTRN_TITLE,public unsafe static int evtCommand_RTRN_TITLE(),RTRN
100670439,0x06001BE7,7143,0x000D1680,method,,evtCommand_CALL_STAFF,public unsafe static int evtCommand_CALL_STAFF(),CALL
100670440,0x06001BE8,7144,0x000D16B0,method,,evtCommand_CALL_ENDSAVE,public unsafe static int evtCommand_CALL_ENDSAVE(),CALL
100670441,0x06001BE9,7145,0x000D16E0,method,,evtCommand_CALL_COMBINE,public unsafe static int evtCommand_CALL_COMBINE(),CALL
100670442,0x06001BEA,7146,0x000D1710,method,,evtCommand_CALL_RECOVER,public unsafe static int evtCommand_CALL_RECOVER(),CALL
100670443,0x06001BEB,7147,0x000D1740,method,,evtCommand_CALL_SHOP,public unsafe static int evtCommand_CALL_SHOP(),CALL
100670444,0x06001BEC,7148,0x000D1770,method,,evtCommand_CALL_RAG,public unsafe static int evtCommand_CALL_RAG(),CALL
100670445,0x06001BED,7149,0x000D17A0,method,,evtCommand_CALL_SAVE,public unsafe static int evtCommand_CALL_SAVE(),CALL
100670446,0x06001BEE,7150,0x000D17D0,method,,evtCommand_CALL_PUZZLEBOY,public unsafe static int evtCommand_CALL_PUZZLEBOY(),CALL
100670447,0x06001BEF,7151,0x000D1800,method,,evtCommand_CALL_NEXT,public unsafe static int evtCommand_CALL_NEXT(),CALL
100670448,0x06001BF0,7152,0x000D1830,method,,evtCommand_CALL_EVENT,public unsafe static int evtCommand_CALL_EVENT(),CALL
100670449,0x06001BF1,7153,0x000D1860,method,,evtCommand_EXIT_EVENT,public unsafe static int evtCommand_EXIT_EVENT(),EXIT
100670450,0x06001BF2,7154,0x000D1890,method,,CallBattleSub,"public unsafe static void CallBattleSub(int encno, int eventno)",misc
100670451,0x06001BF3,7155,0x000D18D0,method,,evtCommand_CALL_BATTLE,public unsafe static int evtCommand_CALL_BATTLE(),CALL
100670452,0x06001BF4,7156,0x000D1900,method,,CallBattleSub2,public unsafe static void CallBattleSub2(int encno),misc
100670453,0x06001BF5,7157,0x000D1934,method,,evtCommand_CALL_BATTLE2,public unsafe static int evtCommand_CALL_BATTLE2(),CALL
100670454,0x06001BF6,7158,0x000D1964,method,,evtCommand_RESTORE_BATTLE,public unsafe static int evtCommand_RESTORE_BATTLE(),RESTORE
100670455,0x06001BF7,7159,0x000D1994,method,,evtCommand_CALL_FIELD,public unsafe static int evtCommand_CALL_FIELD(),CALL
100670456,0x06001BF8,7160,0x000D19C4,method,,evtCommand_CALL_FIELD2,public unsafe static int evtCommand_CALL_FIELD2(),CALL
100670457,0x06001BF9,7161,0x000D19F4,method,,evtCommand_CALL_FIELD3,public unsafe static int evtCommand_CALL_FIELD3(),CALL
100670458,0x06001BFA,7162,0x000D1A24,method,,evtCommand_FIELD_BE,public unsafe static int evtCommand_FIELD_BE(),FIELD
100670459,0x06001BFB,7163,0x000D1A54,method,,evtCommand_FIELD_DSP,public unsafe static int evtCommand_FIELD_DSP(),FIELD
100670460,0x06001BFC,7164,0x000D1A84,method,,evtCommand_FIELD_ANIME_START,public unsafe static int evtCommand_FIELD_ANIME_START(),FIELD
100670461,0x06001BFD,7165,0x000D1AB4,method,,evtCommand_FIELD_ANIME_STOP,public unsafe static int evtCommand_FIELD_ANIME_STOP(),FIELD
100670462,0x06001BFE,7166,0x000D1AE4,method,,evtCommand_FIELD_CLS,public unsafe static int evtCommand_FIELD_CLS(),FIELD
100670463,0x06001BFF,7167,0x000D1B14,method,,evtCommand_FIELD_CLS_STOP,public unsafe static int evtCommand_FIELD_CLS_STOP(),FIELD
100670464,0x06001C00,7168,0x000D1B44,method,,evtCommand_UNIT_CLS,public unsafe static int evtCommand_UNIT_CLS(),UNIT
100670465,0x06001C01,7169,0x000D1B74,method,,evtCommand_UNIT_CLS_STOP,public unsafe static int evtCommand_UNIT_CLS_STOP(),UNIT
100670466,0x06001C02,7170,0x000D1BA4,method,,evtCommand_CAM_SEL,public unsafe static int evtCommand_CAM_SEL(),CAM
100670467,0x06001C03,7171,0x000D1BD4,method,,evtCommand_CAM_SEL_FOVY,public unsafe static int evtCommand_CAM_SEL_FOVY(),CAM
100670468,0x06001C04,7172,0x000D1C04,method,,evtCommand_CAM_PATH_MOVE,public unsafe static int evtCommand_CAM_PATH_MOVE(),CAM
100670469,0x06001C05,7173,0x000D1C34,method,,evtCommand_CAM_PATH_WAIT,public unsafe static int evtCommand_CAM_PATH_WAIT(),CAM
100670470,0x06001C06,7174,0x000D1C64,method,,evtCommand_CAM_CREATE,public unsafe static int evtCommand_CAM_CREATE(),CAM
100670471,0x06001C07,7175,0x000D1C94,method,,evtCommand_CAM_CLS,public unsafe static int evtCommand_CAM_CLS(),CAM
100670472,0x06001C08,7176,0x000D1CC4,method,,evtCommand_CAM_POS_XYZ,public unsafe static int evtCommand_CAM_POS_XYZ(),CAM
100670473,0x06001C09,7177,0x000D1CF4,method,,evtCommand_CAM_ROT_XYZ,public unsafe static int evtCommand_CAM_ROT_XYZ(),CAM
100670474,0x06001C0A,7178,0x000D1D24,method,,evtCommand_CAM_ROT_Q,public unsafe static int evtCommand_CAM_ROT_Q(),CAM
100670475,0x06001C0B,7179,0x000D1D54,method,,evtCommand_OBJ_PATH_MOVE,public unsafe static int evtCommand_OBJ_PATH_MOVE(),OBJ
100670476,0x06001C0C,7180,0x000D1D84,method,,evtCommand_OBJ_PATH_WAIT,public unsafe static int evtCommand_OBJ_PATH_WAIT(),OBJ
100670477,0x06001C0D,7181,0x000D1DB4,method,,evtCommand_MOON_START,public unsafe static int evtCommand_MOON_START(),MOON
100670478,0x06001C0E,7182,0x000D1DE4,method,,evtCommand_MOON_STOP,public unsafe static int evtCommand_MOON_STOP(),MOON
100670479,0x06001C0F,7183,0x000D1E14,method,,evtCommand_GET_MOON,public unsafe static int evtCommand_GET_MOON(),GET
100670480,0x06001C10,7184,0x000D1E44,method,,evtCommand_GET_MOON16,public unsafe static int evtCommand_GET_MOON16(),GET
100670481,0x06001C11,7185,0x000D1E74,method,,evtCommand_CHG_MOON,public unsafe static int evtCommand_CHG_MOON(),CHG
100670482,0x06001C12,7186,0x000D1EA4,method,,evtCommand_LOAD_BE,public unsafe static int evtCommand_LOAD_BE(),LOAD
100670483,0x06001C13,7187,0x000D1ED4,method,,evtCommand_READ_BE,public unsafe static int evtCommand_READ_BE(),READ
100670484,0x06001C14,7188,0x000D1F04,method,,evtCommand_CHK_BE,public unsafe static int evtCommand_CHK_BE(),CHK
100670485,0x06001C15,7189,0x000D1F34,method,,evtCommand_DEL_BE,public unsafe static int evtCommand_DEL_BE(),DEL
100670486,0x06001C16,7190,0x000D1F64,method,,evtCommand_PMV_LOAD,public unsafe static int evtCommand_PMV_LOAD(),PMV
100670487,0x06001C17,7191,0x000D1F94,method,,evtCommand_PMV_RUN2,public unsafe static int evtCommand_PMV_RUN2(),PMV
100670488,0x06001C18,7192,0x000D1FC4,method,,evtCommand_PMV_LOAD_END_WAIT,public unsafe static int evtCommand_PMV_LOAD_END_WAIT(),PMV
100670489,0x06001C19,7193,0x000D1FF4,method,,evtCommand_PMV_RUN,public unsafe static int evtCommand_PMV_RUN(),PMV
100670490,0x06001C1A,7194,0x000D2024,method,,evtCommand_PATH_STOP,public unsafe static int evtCommand_PATH_STOP(),PATH
100670491,0x06001C1B,7195,0x000D2054,method,,evtCommand_PATH_START,public unsafe static int evtCommand_PATH_START(),PATH
100670492,0x06001C1C,7196,0x000D2084,method,,evtCommand_PATH_RATE,public unsafe static int evtCommand_PATH_RATE(),PATH
100670493,0x06001C1D,7197,0x000D20B4,method,,evtCommand_PATH_DIR,public unsafe static int evtCommand_PATH_DIR(),PATH
100670494,0x06001C1E,7198,0x000D20E4,method,,evtCommand_PATH_LOOP_ON,public unsafe static int evtCommand_PATH_LOOP_ON(),PATH
100670495,0x06001C1F,7199,0x000D2114,method,,evtCommand_PATH_LOOP_OFF,public unsafe static int evtCommand_PATH_LOOP_OFF(),PATH
100670496,0x06001C20,7200,0x000D2144,method,,evtCommand_LIGHT_PATH_MOVE,public unsafe static int evtCommand_LIGHT_PATH_MOVE(),LIGHT
100670497,0x06001C21,7201,0x000D2174,method,,evtCommand_LIGHT_PATH_WAIT,public unsafe static int evtCommand_LIGHT_PATH_WAIT(),LIGHT
100670498,0x06001C22,7202,0x000D21A4,method,,evtCommand_TEX_BE,public unsafe static int evtCommand_TEX_BE(),TEX
100670499,0x06001C23,7203,0x000D21D4,method,,evtCommand_TEX_LOAD,public unsafe static int evtCommand_TEX_LOAD(),TEX
100670500,0x06001C24,7204,0x000D2204,method,,evtCommand_TEX_ON,public unsafe static int evtCommand_TEX_ON(),TEX
100670501,0x06001C25,7205,0x000D2234,method,,evtCommand_TEX_OFF,public unsafe static int evtCommand_TEX_OFF(),TEX
100670502,0x06001C26,7206,0x000D2264,method,,evtCommand_TEX_CLS,public unsafe static int evtCommand_TEX_CLS(),TEX
100670503,0x06001C27,7207,0x000D2294,method,,evtCommand_TEX_SWAP,public unsafe static int evtCommand_TEX_SWAP(),TEX
100670504,0x06001C28,7208,0x000D22C4,method,,evtCommand_TEX_OT,public unsafe static int evtCommand_TEX_OT(),TEX
100670505,0x06001C29,7209,0x000D22F4,method,,evtCommand_TEX_PRI,public unsafe static int evtCommand_TEX_PRI(),TEX
100670506,0x06001C2A,7210,0x000D2324,method,,evtCommand_TEX_SIZE,public unsafe static int evtCommand_TEX_SIZE(),TEX
100670507,0x06001C2B,7211,0x000D2354,method,,evtCommand_TEX_POS,public unsafe static int evtCommand_TEX_POS(),TEX
100670508,0x06001C2C,7212,0x000D2384,method,,evtCommand_TEX_ALP,public unsafe static int evtCommand_TEX_ALP(),TEX
100670509,0x06001C2D,7213,0x000D23B4,method,,evtCommand_TEX_ZOOM,public unsafe static int evtCommand_TEX_ZOOM(),TEX
100670510,0x06001C2E,7214,0x000D23E4,method,,evtCommand_TEX_STAT,public unsafe static int evtCommand_TEX_STAT(),TEX
100670511,0x06001C2F,7215,0x000D2414,method,,evtCommand_SET_SKY,public unsafe static int evtCommand_SET_SKY(),SET
100670512,0x06001C30,7216,0x000D2444,method,,evtCommand_SET_SKY_A,public unsafe static int evtCommand_SET_SKY_A(),SET
100670513,0x06001C31,7217,0x000D2474,method,,evtCommand_BOKASI_ON,public unsafe static int evtCommand_BOKASI_ON(),BOKASI
100670514,0x06001C32,7218,0x000D24A4,method,,evtCommand_BOKASI_OFF,public unsafe static int evtCommand_BOKASI_OFF(),BOKASI
100670515,0x06001C33,7219,0x000D24D4,method,,evtCommand_LOAD_SOUND_E,public unsafe static int evtCommand_LOAD_SOUND_E(),LOAD
100670516,0x06001C34,7220,0x000D2504,method,,evtCommand_BGM_PLAY_E,public unsafe static int evtCommand_BGM_PLAY_E(),BGM
100670517,0x06001C35,7221,0x000D2534,method,,evtCommand_BGM_TRANS_E,public unsafe static int evtCommand_BGM_TRANS_E(),BGM
100670518,0x06001C36,7222,0x000D2564,method,,evtCommand_FADEOUT_E,public unsafe static int evtCommand_FADEOUT_E(),FADEOUT
100670519,0x06001C37,7223,0x000D2594,method,,evtCommand_BGM_VOL_DOWN,public unsafe static int evtCommand_BGM_VOL_DOWN(),BGM
100670520,0x06001C38,7224,0x000D25C4,method,,evtCommand_BGM_VOL_UP,public unsafe static int evtCommand_BGM_VOL_UP(),BGM
100670521,0x06001C39,7225,0x000D25F4,method,,evtCommand_SE_PLAY_E,public unsafe static int evtCommand_SE_PLAY_E(),SE
100670522,0x06001C3A,7226,0x000D2624,method,,evtCommand_SE_STOP_E,public unsafe static int evtCommand_SE_STOP_E(),SE
100670523,0x06001C3B,7227,0x000D2654,method,,evtCommand_POINT_ADD,public unsafe static int evtCommand_POINT_ADD(),POINT
100670524,0x06001C3C,7228,0x000D2684,method,,evtCommand_POINT_GET,public unsafe static int evtCommand_POINT_GET(),POINT
100670525,0x06001C3D,7229,0x000D26B4,method,,evtCommand_POINT_1ST,public unsafe static int evtCommand_POINT_1ST(),POINT
100670526,0x06001C3E,7230,0x000D26E4,method,,evtCommand_POINT_2ND,public unsafe static int evtCommand_POINT_2ND(),POINT
100670527,0x06001C3F,7231,0x000D2714,method,,evtCommand_POINT_3RD,public unsafe static int evtCommand_POINT_3RD(),POINT
100670528,0x06001C40,7232,0x000D2744,method,,evtCommand_DIST_BLUR_TEX_BE,public unsafe static int evtCommand_DIST_BLUR_TEX_BE(),DIST
100670529,0x06001C41,7233,0x000D2774,method,,evtCommand_DIST_BLUR_TEX_DEF,public unsafe static int evtCommand_DIST_BLUR_TEX_DEF(),DIST
100670530,0x06001C42,7234,0x000D27A4,method,,evtCommand_DRAWSTOP,public unsafe static int evtCommand_DRAWSTOP(),DRAWSTOP
100670531,0x06001C43,7235,0x000D27D4,method,,evtCommand_SET_SUSPEND,public unsafe static int evtCommand_SET_SUSPEND(),SET
100670532,0x06001C44,7236,0x000D2804,method,,evtCommand_GET_RESUME,public unsafe static int evtCommand_GET_RESUME(),GET
100670533,0x06001C45,7237,0x000D2834,method,,evtCommand_UNLOCK_TRP,public unsafe static int evtCommand_UNLOCK_TRP(),UNLOCK
100670534,0x06001C46,7238,0x000D2864,method,,evtCommand_FRAMEMODE_ON,public unsafe static int evtCommand_FRAMEMODE_ON(),FRAMEMODE
100670535,0x06001C47,7239,0x000D2894,method,,evtCommand_FRAMEMODE_OFF,public unsafe static int evtCommand_FRAMEMODE_OFF(),FRAMEMODE
100670536,0x06001C48,7240,0x000D28C4,method,,evtCommand_GET_MSGTRG,public unsafe static int evtCommand_GET_MSGTRG(),GET
100670537,0x06001C49,7241,0x000D28F4,method,,evtCommand_GET_MACHINE,public unsafe static int evtCommand_GET_MACHINE(),GET
100670538,0x06001C4A,7242,0x000D2924,method,,evtCommand_MESSAGE_WAIT,public unsafe static int evtCommand_MESSAGE_WAIT(),MESSAGE
100670539,0x06001C4B,7243,0x000D2954,method,,evtCommand_LANGUAGE_WAIT,public unsafe static int evtCommand_LANGUAGE_WAIT(),LANGUAGE
100670540,0x06001C4C,7244,0x0000B858,method,,evtCommand,public evtCommand(System.IntPtr pointer) : base(pointer),misc
100670541,0x06001C4D,7245,0x000D2984,property,get,evtNextEventNo,public unsafe static int evtNextEventNo,misc
100670543,0x06001C4F,7247,0x000D29A0,property,get,KutiModel,public unsafe static evtUnitHandle_t KutiModel,misc
100670545,0x06001C51,7249,0x000D29C8,property,get,KagPuzPos,public unsafe static int KagPuzPos,misc
100670547,0x06001C53,7251,0x000D29E4,property,get,KagPuzNow,public unsafe static int KagPuzNow,misc
