field,method_name,signature_line,signature_line_no,caller_count,RefRangeStart,RefRangeEnd,XrefRangeStart,XrefRangeEnd,il2cpp_token
nbGetKureItemA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetKureItemA,"public unsafe static int nbGetKureItemA(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",528,1,5533836,5533837,5533833,5533836,100672242
nbGetKureItemB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetKureItemB,"public unsafe static int nbGetKureItemB(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",568,1,5533845,5533846,5533838,5533845,100672244
nbGetNegoKureHpA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoKureHpA,"public unsafe static int nbGetNegoKureHpA(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",420,1,5533814,5533815,5533808,5533814,100672238
nbGetNegoKureHpB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoKureHpB,"public unsafe static int nbGetNegoKureHpB(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",447,1,5533820,5533821,5533815,5533820,100672239
nbGetNegoKureMakkaB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoKureMakkaB,"public unsafe static int nbGetNegoKureMakkaB(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",393,1,5533807,5533808,5533799,5533807,100672237
nbGetNegoKureMpA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoKureMpA,"public unsafe static int nbGetNegoKureMpA(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",474,1,5533826,5533827,5533821,5533826,100672240
nbGetNegoKureMpB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoKureMpB,"public unsafe static int nbGetNegoKureMpB(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",501,1,5533832,5533833,5533827,5533832,100672241
nbGetNegoRequestType_Public_Static_Int32_Int32_0,nbGetNegoRequestType,public unsafe static int nbGetNegoRequestType(int reqtype),608,1,5533867,5533868,5533857,5533867,100672246
nbGetNegoTuikaRequestType_Public_Static_Int32_Int32_0,nbGetNegoTuikaRequestType,public unsafe static int nbGetNegoTuikaRequestType(int tuikareqtype),621,1,5533878,5533879,5533868,5533878,100672247
nbGetNegoYaruMakkaA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoYaruMakkaA,"public unsafe static int nbGetNegoYaruMakkaA(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",312,1,5533787,5533788,5533779,5533787,100672234
nbGetPrevNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_0,nbGetPrevNegoId,public unsafe static uint nbGetPrevNegoId(ref nbNegoProcessData_t n),177,1,5533565,5533566,5533565,5533565,100672226
nbSelectKureItemB_Public_Static_Int32_Int32_0,nbSelectKureItemB,public unsafe static int nbSelectKureItemB(int lv_idx),595,1,5533856,5533857,5533846,5533856,100672245
GET_NEGO_FLOWID_Private_Static_Int32_UInt32_0,GET_NEGO_FLOWID,public unsafe static int GET_NEGO_FLOWID(uint x),92,0,5468222,5468232,5468222,5468232,100672220
InitNegoProcessData_Private_Static_nbNegoProcessData_t_byref_nbActionProcessData_t_Int32_Int32_Int32_UInt32_0,InitNegoProcessData,"public unsafe static nbNegoProcessData_t InitNegoProcessData(ref nbActionProcessData_t actdata, int pformindex, int eformindex, int negotype, uint skillid)",946,0,0,0,5534321,5534421,100672267
MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0,MAKE_NEGOID,"public unsafe static uint MAKE_NEGOID(int x, int y)",104,0,5468222,5468232,5468222,5468232,100672221
nbGetNegoYaruItemA_Public_Static_Int32_byref_datUnitWork_t_0,nbGetNegoYaruItemA,public unsafe static int nbGetNegoYaruItemA(ref datUnitWork_t w),702,0,0,0,5533963,5533971,100672252
nbGetNegoYaruStone_Public_Static_Int32_byref_datUnitWork_t_0,nbGetNegoYaruStone,public unsafe static int nbGetNegoYaruStone(ref datUnitWork_t w),736,0,0,0,5533983,5533991,100672254
nbInitNegoProcess_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,nbInitNegoProcess,"public unsafe static void nbInitNegoProcess(ref nbActionProcessData_t actdata, int pformindex, int eformindex, int negotype, int skillid)",968,0,0,0,5534421,5534422,100672268
nbNegoProcess1_Private_Static_Object_dds3ProcessID_t_0,nbNegoProcess1,public unsafe static Il2CppSystem.Object nbNegoProcess1(dds3ProcessID_t id),146,0,0,0,5533188,5533213,100672224
nbNegoProcessEnd_Private_Static_Object_dds3ProcessID_t_0,nbNegoProcessEnd,public unsafe static Il2CppSystem.Object nbNegoProcessEnd(dds3ProcessID_t id),918,0,0,0,5534283,5534284,100672265
nbNegoProcessMessage_Private_Static_Object_dds3ProcessID_t_0,nbNegoProcessMessage,public unsafe static Il2CppSystem.Object nbNegoProcessMessage(dds3ProcessID_t id),904,0,0,0,5534257,5534283,100672264
nbNegoProcessMessageChk_Private_Static_Object_dds3ProcessID_t_0,nbNegoProcessMessageChk,public unsafe static Il2CppSystem.Object nbNegoProcessMessageChk(dds3ProcessID_t id),890,0,0,0,5534245,5534257,100672263
nbNegoShutdown_Private_Static_Object_dds3ProcessID_t_0,nbNegoShutdown,public unsafe static Il2CppSystem.Object nbNegoShutdown(dds3ProcessID_t id),932,0,0,0,5534284,5534321,100672266
nbSelectKureItemA_Public_Static_Int32_Int32_0,nbSelectKureItemA,public unsafe static int nbSelectKureItemA(int lv_idx),555,0,0,0,5533837,5533838,100672243
nbSetAllHojoSkillWork_Public_Static_Void_byref_nbNegoProcessData_t_0,nbSetAllHojoSkillWork,public unsafe static void nbSetAllHojoSkillWork(ref nbNegoProcessData_t n),634,0,0,0,5533879,5533897,100672248
