native_ptr_name,token,group
ClearTimeList_Public_Static_Void_byref_nbActionProcessData_t_0,100670835,nbActionProcess
SetHpForTimeList_Public_Static_Void_byref_nbActionProcessData_t_0,100670836,nbActionProcess
CheckTimeListDeadEnemyParty_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670837,nbActionProcess
nbAddTimeListHp_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670838,nbActionProcess
OverwriteTimeList_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,100670839,nbActionProcess
GetAllEndTime_Public_Static_Int32_byref_nbActionProcessData_t_0,100670840,nbActionProcess
GetAllUnlockTime_Public_Static_Int32_byref_nbActionProcessData_t_0,100670841,nbActionProcess
GetKoukaList_Public_Static_Void_byref_nbActionProcessData_t_Il2CppReferenceArray_1_Il2CppStructArray_1_SByte_UInt32_Int32_0,100670842,nbActionProcess
SetTargetPlayer_Public_Static_Void_byref_nbActionProcessData_t_0,100670843,nbActionProcess
SetTargetParty_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670844,nbActionProcess
CheckMukanNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670845,nbActionProcess
CheckSenseiNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670846,nbActionProcess
CheckInotiNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670847,nbActionProcess
CheckBinjoNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670848,nbActionProcess
CheckDeadScript_Public_Static_Void_byref_nbActionProcessData_t_0,100670849,nbActionProcess
CheckKoketaNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670850,nbActionProcess
KyouseiPress_Public_Static_Void_byref_nbActionProcessData_t_0,100670851,nbActionProcess
DokodemoPoa_Public_Static_Void_byref_nbActionProcessData_t_0,100670852,nbActionProcess
SetNowActionStat_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670853,nbActionProcess
SetDamagePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670854,nbActionProcess
SetAction_NON_Public_Static_Void_byref_nbActionProcessData_t_0,100670855,nbActionProcess
CheckAction_NON_Public_Static_Int32_byref_nbActionProcessData_t_0,100670856,nbActionProcess
SetAction_COMM_Public_Static_Void_byref_nbActionProcessData_t_0,100670857,nbActionProcess
CheckAction_COMM_Public_Static_Int32_byref_nbActionProcessData_t_0,100670858,nbActionProcess
SetAction_AI_Public_Static_Void_byref_nbActionProcessData_t_0,100670859,nbActionProcess
CheckAction_AI_Public_Static_Int32_byref_nbActionProcessData_t_0,100670860,nbActionProcess
SetAction_AISCR_Public_Static_Void_byref_nbActionProcessData_t_0,100670861,nbActionProcess
CheckAction_AISCR_Public_Static_Int32_byref_nbActionProcessData_t_0,100670862,nbActionProcess
SetAction_DEADSCRIPT_Public_Static_Void_byref_nbActionProcessData_t_0,100670863,nbActionProcess
CheckAction_DEADSCRIPT_Public_Static_Int32_byref_nbActionProcessData_t_0,100670864,nbActionProcess
SetAction_BAD_Public_Static_Void_byref_nbActionProcessData_t_0,100670865,nbActionProcess
CheckAction_BAD_Public_Static_Int32_byref_nbActionProcessData_t_0,100670866,nbActionProcess
SetAction_BADWAIT_Public_Static_Void_byref_nbActionProcessData_t_0,100670867,nbActionProcess
CheckAction_BADWAIT_Public_Static_Int32_byref_nbActionProcessData_t_0,100670868,nbActionProcess
SetAction_TARSEL_Public_Static_Void_byref_nbActionProcessData_t_0,100670869,nbActionProcess
CheckAction_TARSEL_Public_Static_Int32_byref_nbActionProcessData_t_0,100670870,nbActionProcess
SetAction_STKSEL_Public_Static_Void_byref_nbActionProcessData_t_0,100670871,nbActionProcess
CheckAction_STKSEL_Public_Static_Int32_byref_nbActionProcessData_t_0,100670872,nbActionProcess
SobedClear_Public_Static_Void_0,100670873,nbActionProcess
SetAction_READY_Public_Static_Void_byref_nbActionProcessData_t_0,100670874,nbActionProcess
CheckAction_READY_Public_Static_Int32_byref_nbActionProcessData_t_0,100670875,nbActionProcess
SetAction_SKILL_Public_Static_Void_byref_nbActionProcessData_t_0,100670876,nbActionProcess
CheckAction_SKILL_Public_Static_Int32_byref_nbActionProcessData_t_0,100670877,nbActionProcess
SetAction_NEGO_Public_Static_Void_byref_nbActionProcessData_t_0,100670878,nbActionProcess
CheckAction_NEGO_Public_Static_Int32_byref_nbActionProcessData_t_0,100670879,nbActionProcess
SetAction_NEGORESULT_Public_Static_Void_byref_nbActionProcessData_t_0,100670880,nbActionProcess
CheckAction_NEGORESULT_Public_Static_Int32_byref_nbActionProcessData_t_0,100670881,nbActionProcess
SetAction_WAIT_Public_Static_Void_byref_nbActionProcessData_t_0,100670882,nbActionProcess
CheckAction_WAIT_Public_Static_Int32_byref_nbActionProcessData_t_0,100670883,nbActionProcess
SetAction_ESCAPE_Public_Static_Void_byref_nbActionProcessData_t_0,100670884,nbActionProcess
CheckAction_ESCAPE_Public_Static_Int32_byref_nbActionProcessData_t_0,100670885,nbActionProcess
SetAction_RETURN_Public_Static_Void_byref_nbActionProcessData_t_0,100670886,nbActionProcess
CheckAction_RETURN_Public_Static_Int32_byref_nbActionProcessData_t_0,100670887,nbActionProcess
SetAction_INVISIBLE_Public_Static_Void_byref_nbActionProcessData_t_0,100670888,nbActionProcess
CheckAction_INVISIBLE_Public_Static_Int32_byref_nbActionProcessData_t_0,100670889,nbActionProcess
SetAction_CHECK1_Public_Static_Void_byref_nbActionProcessData_t_0,100670890,nbActionProcess
CheckAction_CHECK1_Public_Static_Int32_byref_nbActionProcessData_t_0,100670891,nbActionProcess
SetAction_CHECK3_Public_Static_Void_byref_nbActionProcessData_t_0,100670892,nbActionProcess
CheckAction_CHECK3_Public_Static_Int32_byref_nbActionProcessData_t_0,100670893,nbActionProcess
SetAction_ATO_Public_Static_Void_byref_nbActionProcessData_t_0,100670894,nbActionProcess
CheckAction_ATO_Public_Static_Int32_byref_nbActionProcessData_t_0,100670895,nbActionProcess
SetAction_END_Public_Static_Void_byref_nbActionProcessData_t_0,100670896,nbActionProcess
CheckAction_END_Public_Static_Int32_byref_nbActionProcessData_t_0,100670897,nbActionProcess
nbGetActionSeq_Public_Static_Int32_dds3ProcessID_t_0,100670898,nbActionProcess
nbGetPrevActionSeq_Public_Static_Int32_0,100670899,nbActionProcess
nbActionProcess1_Public_Static_Object_dds3ProcessID_t_0,100670900,nbActionProcess
nbActionShutdown_Public_Static_Object_dds3ProcessID_t_0,100670901,nbActionProcess
InitActionProcessData_Public_Static_nbActionProcessData_t_byref_nbMainProcessData_t_Int32_Int32_Int32_Int32_0,100670902,nbActionProcess
nbInitActionProcess_Public_Static_Void_byref_nbMainProcessData_t_Int32_Int32_Int32_Int32_0,100670903,nbActionProcess
MAKE_SKILL_SE00_Internal_Static_Int32_Int32_0,100670904,nbActionProcess
MAKE_SKILL_SE01_Internal_Static_Int32_Int32_0,100670905,nbActionProcess
GetSOBED_Private_Static_SOBED_Int32_0,100670906,nbActionProcess
SetPbList_Public_Static_Void_SOBED_PB_LIST_0,100670907,nbActionProcess
GetPbList_Public_Static_SOBED_PB_LIST_0,100670908,nbActionProcess
SobedPbSet_Public_Static_Void_Il2CppStructArray_1_Byte_Int32_0,100670909,nbActionProcess
_ctor_Public_Void_0,100670911,nbActionProcess
_ctor_Public_Void_Object_IntPtr_0,100670912,nbActionProcess
Invoke_Public_Virtual_New_Void_byref_nbActionProcessData_t_0,100670913,nbActionProcess
BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbActionProcessData_t_AsyncCallback_Object_0,100670914,nbActionProcess
EndInvoke_Public_Virtual_New_Void_byref_nbActionProcessData_t_IAsyncResult_0,100670915,nbActionProcess
_ctor_Public_Void_Object_IntPtr_0,100670916,nbActionProcess
Invoke_Public_Virtual_New_Int32_byref_nbActionProcessData_t_0,100670917,nbActionProcess
BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbActionProcessData_t_AsyncCallback_Object_0,100670918,nbActionProcess
EndInvoke_Public_Virtual_New_Int32_byref_nbActionProcessData_t_IAsyncResult_0,100670919,nbActionProcess
_ctor_Public_Void_0,100670920,nbActionProcess
_ctor_Public_Void_0,100670921,nbActionProcess
Chk_MYHP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670922,nbAi
Chk_MYMP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670923,nbAi
Chk_FRHP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670924,nbAi
Chk_DMGCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670925,nbAi
Chk_CHKCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670926,nbAi
Chk_FRCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670927,nbAi
Chk_ENCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670928,nbAi
Chk_MYBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670929,nbAi
Chk_FRBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670930,nbAi
Chk_ENBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670931,nbAi
Chk_ENALLBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670932,nbAi
Chk_ENID_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670933,nbAi
Chk_FRID_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670934,nbAi
ChkAiHojo_Public_Static_Int32_Int32_Int32_0,100670935,nbAi
ChkAiHojoMax_Public_Static_Int32_Int32_Int32_0,100670936,nbAi
Chk_ENHOJO_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670937,nbAi
Chk_FRHOJO_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670938,nbAi
Chk_ENHOJOMAX_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670939,nbAi
Chk_FRHOJOMAX_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670940,nbAi
Chk_BA_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670941,nbAi
Chk_SENSEI_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670942,nbAi
Chk_ENLIGHT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670943,nbAi
Chk_ENDARK_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670944,nbAi
Chk_POW_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670945,nbAi
Chk_PLV_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670946,nbAi
Chk_PPARTYLV_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670947,nbAi
Chk_TURN_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670948,nbAi
Chk_ENHAMAMHK_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670949,nbAi
Chk_SKILLNOMP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670950,nbAi
nbAiChkJoken_Public_Static_Int32_byref_nbActionProcessData_t_UInt32_0,100670951,nbAi
AiChk_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670952,nbAi
GetKoudou_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670953,nbAi
SetKoudou_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670954,nbAi
Sel_AI_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670955,nbAi
Sel_LIFEMIN_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670956,nbAi
Sel_BAARLV_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670957,nbAi
Sel_LVMIN_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670958,nbAi
Sel_BAD_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670959,nbAi
Sel_ID_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670960,nbAi
Sel_LIGHT_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670961,nbAi
Sel_DARK_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670962,nbAi
Sel_PLAYER_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670963,nbAi
Sel_JOKEN_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670964,nbAi
Sel_RND_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670965,nbAi
SetSingleTarget2_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670966,nbAi
SetGroupTarget2_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670967,nbAi
ChkCost_Public_Static_Int32_byref_nbActionProcessData_t_0,100670968,nbAi
ChkClose_Public_Static_Int32_byref_nbActionProcessData_t_0,100670969,nbAi
nbSetAiTarget_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670970,nbAi
nbRunAiSub_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670971,nbAi
nbRunAi_Public_Static_Int32_byref_nbActionProcessData_t_0,100670972,nbAi
_ctor_Public_Void_0,100670974,nbAi
_ctor_Public_Void_Object_IntPtr_0,100670975,nbAi
Invoke_Public_Virtual_New_Int32_byref_nbActionProcessData_t_Int32_0,100670976,nbAi
BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbActionProcessData_t_Int32_AsyncCallback_Object_0,100670977,nbAi
EndInvoke_Public_Virtual_New_Int32_byref_nbActionProcessData_t_IAsyncResult_0,100670978,nbAi
nbCommand_AI_ACT_ATTACK_Public_Static_Int32_0,100670979,nbAiScript
nbCommand_AI_ACT_ESCAPE_Public_Static_Int32_0,100670980,nbAiScript
nbCommand_AI_ACT_WAIT_Public_Static_Int32_0,100670981,nbAiScript
nbCommand_AI_ACT_SKILL_Public_Static_Int32_0,100670982,nbAiScript
nbCommand_AI_ACT_SUMMON_Public_Static_Int32_0,100670983,nbAiScript
nbCommand_AI_SET_CRITICAL_Public_Static_Int32_0,100670984,nbAiScript
nbCommand_AI_TAR_AI_Public_Static_Int32_0,100670985,nbAiScript
nbCommand_AI_TAR_LIFEMIN_Public_Static_Int32_0,100670986,nbAiScript
nbCommand_AI_TAR_BAARLV_Public_Static_Int32_0,100670987,nbAiScript
nbCommand_AI_TAR_LVMIN_Public_Static_Int32_0,100670988,nbAiScript
nbCommand_AI_TAR_BAD_Public_Static_Int32_0,100670989,nbAiScript
nbCommand_AI_TAR_ID_Public_Static_Int32_0,100670990,nbAiScript
nbCommand_AI_TAR_LIGHT_Public_Static_Int32_0,100670991,nbAiScript
nbCommand_AI_TAR_DARK_Public_Static_Int32_0,100670992,nbAiScript
nbCommand_AI_TAR_PLAYER_Public_Static_Int32_0,100670993,nbAiScript
nbCommand_AI_TAR_RND_Public_Static_Int32_0,100670994,nbAiScript
nbCommand_AI_TAR_JOKEN_Public_Static_Int32_0,100670995,nbAiScript
AiChkJoken_Public_Static_Void_UInt32_0,100670996,nbAiScript
nbCommand_AI_CHK_MYHP_Public_Static_Int32_0,100670997,nbAiScript
nbCommand_AI_CHK_MYMP_Public_Static_Int32_0,100670998,nbAiScript
nbCommand_AI_CHK_FRHP_Public_Static_Int32_0,100670999,nbAiScript
nbCommand_AI_CHK_DMGCNT_Public_Static_Int32_0,100671000,nbAiScript
nbCommand_AI_CHK_FRCNT_Public_Static_Int32_0,100671001,nbAiScript
nbCommand_AI_CHK_ENCNT_Public_Static_Int32_0,100671002,nbAiScript
nbCommand_AI_CHK_MYBAD_Public_Static_Int32_0,100671003,nbAiScript
nbCommand_AI_CHK_FRBAD_Public_Static_Int32_0,100671004,nbAiScript
nbCommand_AI_CHK_ENBAD_Public_Static_Int32_0,100671005,nbAiScript
nbCommand_AI_CHK_ENALLBAD_Public_Static_Int32_0,100671006,nbAiScript
nbCommand_AI_CHK_ENID_Public_Static_Int32_0,100671007,nbAiScript
nbCommand_AI_CHK_FRID_Public_Static_Int32_0,100671008,nbAiScript
nbCommand_AI_CHK_ENHOJO_Public_Static_Int32_0,100671009,nbAiScript
nbCommand_AI_CHK_FRHOJO_Public_Static_Int32_0,100671010,nbAiScript
nbCommand_AI_CHK_ENHOJOMAX_Public_Static_Int32_0,100671011,nbAiScript
nbCommand_AI_CHK_FRHOJOMAX_Public_Static_Int32_0,100671012,nbAiScript
nbCommand_AI_CHK_BA_Public_Static_Int32_0,100671013,nbAiScript
nbCommand_AI_CHK_ENLIGHT_Public_Static_Int32_0,100671014,nbAiScript
nbCommand_AI_CHK_ENDARK_Public_Static_Int32_0,100671015,nbAiScript
nbCommand_AI_CHK_POW_Public_Static_Int32_0,100671016,nbAiScript
nbCommand_AI_CHK_PLV_Public_Static_Int32_0,100671017,nbAiScript
nbCommand_AI_CHK_PPARTYLV_Public_Static_Int32_0,100671018,nbAiScript
nbCommand_AI_GET_TURN_Public_Static_Int32_0,100671019,nbAiScript
nbCommand_AI_GET_ALLKOUDO_Public_Static_Int32_0,100671020,nbAiScript
nbCommand_AI_GET_PRESSKOUDO_Public_Static_Int32_0,100671021,nbAiScript
nbCommand_AI_GET_MYLV_Public_Static_Int32_0,100671022,nbAiScript
nbCommand_AI_GET_MYAISYO_Public_Static_Int32_0,100671023,nbAiScript
nbCommand_AI_GET_FUREA_Public_Static_Int32_0,100671024,nbAiScript
nbCommand_AI_CHK_ESCAPE_Public_Static_Int32_0,100671025,nbAiScript
nbCommand_AI_CHK_ENHAMAMHK_Public_Static_Int32_0,100671026,nbAiScript
nbCommand_AI_CHK_SKILLNOMP_Public_Static_Int32_0,100671027,nbAiScript
nbCommand_AI_Public_Static_Int32_0,100671028,nbAiScript
nbCommand_AI_TBL_Public_Static_Int32_0,100671029,nbAiScript
nbCommand_BTL_CAM_SET_Public_Static_Int32_0,100671030,nbAiScript
nbCommand_BTL_CAM_ORG_Public_Static_Int32_0,100671031,nbAiScript
nbCommand_BTL_CAM_1SHOT_Public_Static_Int32_0,100671032,nbAiScript
nbCommand_BTL_CAM_2SHOT_Public_Static_Int32_0,100671033,nbAiScript
nbCommand_BTL_CAM_BOUGAI_Public_Static_Int32_0,100671034,nbAiScript
nbCommand_BTL_PNL_OFF_Public_Static_Int32_0,100671035,nbAiScript
