field,method_name,signature_line,signature_line_no,caller_count,RefRangeStart,RefRangeEnd,XrefRangeStart,XrefRangeEnd,base,il2cpp_token
itfMesMngSetVarImmediate_Public_Static_Void_Int32_Int32_String_0,itfMesMngSetVarImmediate,"public unsafe static void itfMesMngSetVarImmediate(int id, int index, string pstr)",1464,2,5470907,5470909,5470902,5470907,itfMesMngSetVarImmediate,100669381
CalcMesFlow_Internal_Static_Void_instanceMes_tag_0,CalcMesFlow,public unsafe static void CalcMesFlow(instanceMes_tag pinst),933,1,5470308,5470309,5470302,5470308,CalcMesFlow,100669339
CalcMessage_Internal_Static_Void_instanceMes_tag_0,CalcMessage,public unsafe static void CalcMessage(instanceMes_tag pinst),957,1,5470350,5470351,5470328,5470350,CalcMessage,100669341
ClearSpeaker_Internal_Static_Void_0,ClearSpeaker,public unsafe static void ClearSpeaker(),412,1,5469898,5469899,5469878,5469898,ClearSpeaker,100669298
DrawMesFlow_Private_Static_Void_instanceMes_tag_0,DrawMesFlow,public unsafe static void DrawMesFlow(instanceMes_tag pinst),1745,1,5471346,5471347,5471301,5471346,DrawMesFlow,100669402
DrawMessage_Internal_Static_Int32__FRQ_0,DrawMessage,public unsafe static int DrawMessage(_FRQ pfont),1769,1,5471429,5471430,5471364,5471429,DrawMessage,100669404
OpenMessageWindow_Internal_Static_Void_instanceMes_tag_0,OpenMessageWindow,public unsafe static void OpenMessageWindow(instanceMes_tag pinst),772,1,5470253,5470254,5470234,5470253,OpenMessageWindow,100669326
itfMesMngGetStrImmediate_Public_Static_String_Int32_Int32_Int32_0,itfMesMngGetStrImmediate,"public unsafe static string itfMesMngGetStrImmediate(int id, int message, int page)",1508,1,5470928,5470929,5470926,5470928,itfMesMngGetStrImmediate,100669384
itfMesMngInitializeManager_Public_Static_Void_0,itfMesMngInitializeManager,public unsafe static void itfMesMngInitializeManager(),1593,1,5471143,5471144,5470958,5471143,itfMesMngInitializeManager,100669390
itfMesMngSetDefaultSpeed_Public_Static_Void_Int32_Int32_0,itfMesMngSetDefaultSpeed,"public unsafe static void itfMesMngSetDefaultSpeed(int id, int speed)",1567,1,5470951,5470952,5470947,5470951,itfMesMngSetDefaultSpeed,100669388
itfMesMngSetFloor_Public_Static_String_Int32_0,itfMesMngSetFloor,public unsafe static string itfMesMngSetFloor(int num),1451,1,5470901,5470902,5470880,5470901,itfMesMngSetFloor,100669380
itfMesMngSetSelect_Public_Static_Void_Int32_Int32_0,itfMesMngSetSelect,"public unsafe static void itfMesMngSetSelect(int id, int selno)",1345,1,5470808,5470809,5470801,5470808,itfMesMngSetSelect,100669372
GetMessagePagePtr_Internal_Static_Il2CppStructArray_1_Byte_itfMesBinMesHeader_t_Il2CppStructArray_1_Byte_Int32_0,GetMessagePagePtr,"public unsafe static Il2CppStructArray<byte> GetMessagePagePtr(itfMesBinMesHeader_t pmesheader, Il2CppStructArray<byte> data, int page)",348,0,0,0,5469719,5469721,GetMessagePagePtr,100669293
InitializeWindow_Internal_Static_Void_window_tag_0,InitializeWindow,public unsafe static void InitializeWindow(window_tag pwindow),831,0,0,0,5470275,5470280,InitializeWindow,100669331
RaiseMessageSpeedMax_Internal_Static_Void__FRQ_0,RaiseMessageSpeedMax,public unsafe static void RaiseMessageSpeedMax(_FRQ pfont),748,0,0,0,5470226,5470230,RaiseMessageSpeedMax,100669324
RaiseMessageSpeedMaxAll_Internal_Static_Void__FRQ_0,RaiseMessageSpeedMaxAll,public unsafe static void RaiseMessageSpeedMaxAll(_FRQ pfont),760,0,0,0,5470230,5470234,RaiseMessageSpeedMaxAll,100669325
ResolveResourceAddress_Internal_Static_Void_Object_0,ResolveResourceAddress,public unsafe static void ResolveResourceAddress(Il2CppSystem.Object pdata),307,0,0,0,5469708,5469709,ResolveResourceAddress,100669290
WindowDispOn_Public_Static_Void_Int32_0,WindowDispOn,public unsafe static void WindowDispOn(int MsgID),377,0,0,0,5469789,5469814,WindowDispOn,100669295
itfMesMngChangeWindowType_Public_Static_Void_Int32_Int32_Int32_0,itfMesMngChangeWindowType,"public unsafe static void itfMesMngChangeWindowType(int id, int type, int alpha)",1538,0,0,0,5470935,5470936,itfMesMngChangeWindowType,100669386
itfMesMngCloseWindow_Public_Static_Int32_0,itfMesMngCloseWindow,public unsafe static int itfMesMngCloseWindow(),1094,0,0,0,5470416,5470428,itfMesMngCloseWindow,100669352
itfMesMngGetVarLocalize_Public_Static_String_Int32_Int32_0,itfMesMngGetVarLocalize,"public unsafe static string itfMesMngGetVarLocalize(int id, int index)",1422,0,0,0,5470849,5470853,itfMesMngGetVarLocalize,100669378
itfMesMngOpenWindow_Public_Static_Int32_0,itfMesMngOpenWindow,public unsafe static int itfMesMngOpenWindow(),1082,0,0,0,5470415,5470416,itfMesMngOpenWindow,100669351
itfMesMngSelect_Public_Static_Int32_0,itfMesMngSelect,public unsafe static int itfMesMngSelect(),1007,0,0,0,5470370,5470386,itfMesMngSelect,100669345
itfMesMngSetMaskSelect_Public_Static_Void_Int32_UInt32_0,itfMesMngSetMaskSelect,"public unsafe static void itfMesMngSetMaskSelect(int id, uint maskpattern)",1332,0,0,0,5470797,5470801,itfMesMngSetMaskSelect,100669371
itfMesMngSetResourcePtr_Public_Static_Object_Int32_Object_0,itfMesMngSetResourcePtr,"public unsafe static Il2CppSystem.Object itfMesMngSetResourcePtr(int id, Il2CppSystem.Object presource)",1493,0,0,0,5470917,5470926,itfMesMngSetResourcePtr,100669383
itfMesMngSetVarImmediate2_Public_Static_Void_Int32_Int32_String_Int32_0,itfMesMngSetVarImmediate2,"public unsafe static void itfMesMngSetVarImmediate2(int id, int index, string pstr, int length)",1478,0,0,0,5470909,5470917,itfMesMngSetVarImmediate2,100669382
itfMesMngWindowType_Public_Static_Int32_0,itfMesMngWindowType,public unsafe static int itfMesMngWindowType(),1200,0,0,0,5470480,5470483,itfMesMngWindowType,100669361
itfMesMngWindowTypeAlpha_Public_Static_Int32_0,itfMesMngWindowTypeAlpha,public unsafe static int itfMesMngWindowTypeAlpha(),1212,0,0,0,5470483,5470487,itfMesMngWindowTypeAlpha,100669362
