field_ptr,field_name,type
aichktbl,aichktbl,nbActionProcessData_t
aijokentbl,aijokentbl,nbActionProcessData_t
aiselect,aiselect,nbActionProcessData_t
aisummonid,aisummonid,nbActionProcessData_t
allhpdamage,allhpdamage,nbActionProcessData_t
allmpdamage,allmpdamage,nbActionProcessData_t
autoskill,autoskill,nbActionProcessData_t
data,data,nbActionProcessData_t
form,form,nbActionProcessData_t
hBed,hBed,nbActionProcessData_t
hEffBTL,hEffBTL,nbActionProcessData_t
hSkillMem,hSkillMem,nbActionProcessData_t
hSkillSe,hSkillSe,nbActionProcessData_t
hitstopframe,hitstopframe,nbActionProcessData_t
jyo_varid,jyo_varid,nbActionProcessData_t
jyo_varind,jyo_varind,nbActionProcessData_t
jyokyomes,jyokyomes,nbActionProcessData_t
massuruid,massuruid,nbActionProcessData_t
motion,motion,nbActionProcessData_t
motionO,motionO,nbActionProcessData_t
motse,motse,nbActionProcessData_t
negotype,negotype,nbActionProcessData_t
newaddpresstype,newaddpresstype,nbActionProcessData_t
newpress_p,newpress_p,nbActionProcessData_t
newpress_ten,newpress_ten,nbActionProcessData_t
newpresstype,newpresstype,nbActionProcessData_t
nextseq,nextseq,nbActionProcessData_t
pTexture,pTexture,nbActionProcessData_t
packettime,packettime,nbActionProcessData_t
party,party,nbActionProcessData_t
partyindex,partyindex,nbActionProcessData_t
press,press,nbActionProcessData_t
runerr,runerr,nbActionProcessData_t
se0_name,se0_name,nbActionProcessData_t
se1_name,se1_name,nbActionProcessData_t
select,select,nbActionProcessData_t
seq,seq,nbActionProcessData_t
seqcnt,seqcnt,nbActionProcessData_t
seqtime,seqtime,nbActionProcessData_t
skillmidi,skillmidi,nbActionProcessData_t
skilltime,skilltime,nbActionProcessData_t
stat,stat,nbActionProcessData_t
target,target,nbActionProcessData_t
timelist,timelist,nbActionProcessData_t
timer,timer,nbActionProcessData_t
type,type,nbActionProcessData_t
uniqueid,uniqueid,nbActionProcessData_t
work,work,nbActionProcessData_t
cuteff,cuteff,nbKoukaPacket_t
data1,data1,nbKoukaPacket_t
data2,data2,nbKoukaPacket_t
flag,flag,nbKoukaPacket_t
form,form,nbKoukaPacket_t
framelength,framelength,nbKoukaPacket_t
framelengthF,framelengthF,nbKoukaPacket_t
next,next,nbKoukaPacket_t
party,party,nbKoukaPacket_t
partyno,partyno,nbKoukaPacket_t
prev,prev,nbKoukaPacket_t
startframe,startframe,nbKoukaPacket_t
startframeF,startframeF,nbKoukaPacket_t
time,time,nbKoukaPacket_t
type,type,nbKoukaPacket_t
uniqueid,uniqueid,nbKoukaPacket_t
unit,unit,nbKoukaPacket_t
v,v,nbKoukaPacket_t
ActionProcessID,ActionProcessID,nbMainProcessData_t
AiScriptProcessID,AiScriptProcessID,nbMainProcessData_t
AtoProcessID,AtoProcessID,nbMainProcessData_t
AutoCommProcessID,AutoCommProcessID,nbMainProcessData_t
CameraProcessID,CameraProcessID,nbMainProcessData_t
CommSelProcessID,CommSelProcessID,nbMainProcessData_t
DebugProcessID,DebugProcessID,nbMainProcessData_t
EffectProcessID,EffectProcessID,nbMainProcessData_t
EncProcessID,EncProcessID,nbMainProcessData_t
EventProcessID,EventProcessID,nbMainProcessData_t
HatudoEff,HatudoEff,nbMainProcessData_t
HelpProcessID,HelpProcessID,nbMainProcessData_t
KoukaProcessID,KoukaProcessID,nbMainProcessData_t
MaeProcessID,MaeProcessID,nbMainProcessData_t
MainProcessID,MainProcessID,nbMainProcessData_t
NegoProcessID,NegoProcessID,nbMainProcessData_t
NowActionProcess,NowActionProcess,nbMainProcessData_t
PanelProcessID,PanelProcessID,nbMainProcessData_t
ResultProcessID,ResultProcessID,nbMainProcessData_t
StageMajor,StageMajor,nbMainProcessData_t
StageMinor,StageMinor,nbMainProcessData_t
StageProcessID,StageProcessID,nbMainProcessData_t
TarSelProcessID,TarSelProcessID,nbMainProcessData_t
TarSelType,TarSelType,nbMainProcessData_t
UnitProcessID,UnitProcessID,nbMainProcessData_t
actionstack,actionstack,nbMainProcessData_t
actionstackp,actionstackp,nbMainProcessData_t
activeunit,activeunit,nbMainProcessData_t
baselight,baselight,nbMainProcessData_t
battletime,battletime,nbMainProcessData_t
d31_andahansya,d31_andahansya,nbMainProcessData_t
d31_kantuu,d31_kantuu,nbMainProcessData_t
d31_press_total,d31_press_total,nbMainProcessData_t
d31_rebehansya,d31_rebehansya,nbMainProcessData_t
debug,debug,nbMainProcessData_t
encno,encno,nbMainProcessData_t
encpackno,encpackno,nbMainProcessData_t
endtype,endtype,nbMainProcessData_t
enemypcnt,enemypcnt,nbMainProcessData_t
enemyunit,enemyunit,nbMainProcessData_t
esccnt,esccnt,nbMainProcessData_t
eventcamera,eventcamera,nbMainProcessData_t
eventno,eventno,nbMainProcessData_t
eventrid,eventrid,nbMainProcessData_t
exp,exp,nbMainProcessData_t
flag,flag,nbMainProcessData_t
flyh,flyh,nbMainProcessData_t
flyh_akey,flyh_akey,nbMainProcessData_t
flymem,flymem,nbMainProcessData_t
form,form,nbMainProcessData_t
formationtype,formationtype,nbMainProcessData_t
gamecamera,gamecamera,nbMainProcessData_t
hPnlTex1,hPnlTex1,nbMainProcessData_t
hPnlTex2,hPnlTex2,nbMainProcessData_t
hPnlTex3,hPnlTex3,nbMainProcessData_t
hPnlTex4,hPnlTex4,nbMainProcessData_t
item,item,nbMainProcessData_t
itemcnt,itemcnt,nbMainProcessData_t
jyokyomsgid,jyokyomsgid,nbMainProcessData_t
maka,maka,nbMainProcessData_t
miscmsgid,miscmsgid,nbMainProcessData_t
nakamayobi,nakamayobi,nbMainProcessData_t
negoeformindex,negoeformindex,nbMainProcessData_t
negopformindex,negopformindex,nbMainProcessData_t
negoresult,negoresult,nbMainProcessData_t
nextphase,nextphase,nbMainProcessData_t
niidacamera,niidacamera,nbMainProcessData_t
niidalight,niidalight,nbMainProcessData_t
order,order,nbMainProcessData_t
orderindex,orderindex,nbMainProcessData_t
packindex,packindex,nbMainProcessData_t
packno,packno,nbMainProcessData_t
party,party,nbMainProcessData_t
phase,phase,nbMainProcessData_t
phasetime,phasetime,nbMainProcessData_t
playerpcnt,playerpcnt,nbMainProcessData_t
press3,press3,nbMainProcessData_t
press4_hansya,press4_hansya,nbMainProcessData_t
press4_miss,press4_miss,nbMainProcessData_t
press4_p,press4_p,nbMainProcessData_t
press4_ten,press4_ten,nbMainProcessData_t
prevcommand,prevcommand,nbMainProcessData_t
prevcommind,prevcommind,nbMainProcessData_t
prevflag,prevflag,nbMainProcessData_t
previndex,previndex,nbMainProcessData_t
sound,sound,nbMainProcessData_t
sound_mem,sound_mem,nbMainProcessData_t
stat,stat,nbMainProcessData_t
turn,turn,nbMainProcessData_t
